"","match","id","label","centrality","pageRank"
"80","19719.json",11,"kirstyn_pearce",0.634630154568632,0.0639538471591569
"81","19719.json",12,"rebecca_jane",1.08636286726469e-17,0.0134529147982063
"82","19720.json",1,"sophie_baggaley",0.267856924435268,0.136104578125795
"83","19720.json",2,"danique_kerkdijk",0.991259334520046,0.153869130908805
"84","19720.json",3,"carla_humphrey",0.928476498938537,0.112363520593306
"85","19720.json",4,"lucy_graham",1,0.133232922577319
"86","19720.json",5,"ella_rutherford",0.611703684199591,0.0630174099125081
"87","19720.json",6,"loren_dykes",0.290263460155568,0.151670957334078
"88","19720.json",7,"poppy_pattinson",0,0.0166909177994927
"89","19720.json",8,"frankie_brown",0.572960551608259,0.0488301297829393
"90","19720.json",9,"gemma_evans",0.313002470270992,0.0332179022861963
"91","19720.json",10,"julie_biesmans",0.524499455015621,0.0918366323337823
"92","19720.json",11,"ali_johnson",0,0.0166909177994927
"93","19720.json",12,"juliette_kemppi",0.215542463647112,0.042474980546286
"94","19722.json",1,"louise_quinn",0.960146861579084,0.0867196630897789
"95","19722.json",2,"jordan_nobbs",1,0.105821360686014
"96","19722.json",3,"emma_mitchell",0.928179560637886,0.0946320949799054
"97","19722.json",4,"dominique_johanna_anna_bloodworth",0.984163145344891,0.100966705803196
"98","19722.json",5,"jessica_marie_samuelsson",0.621544804982865,0.0595701054538856
"99","19722.json",6,"kim_little",0.913646905214344,0.0906966861657871
"100","19722.json",7,"lia_wälti",0.926872194393475,0.0857480233833638
"101","19722.json",8,"pauline_peyraud_magnin",0.190145582072447,0.0290465032392007
"102","19722.json",9,"bethany_mead",0.811992005413343,0.0786953926749741
"103","19722.json",10,"katie_mccabe",0.341109373337867,0.035654957304217
"104","19722.json",11,"vivianne_miedema",0.806720858449776,0.0787436424487476
"105","19722.json",12,"danielle_van_de_donk",0.862236794259073,0.0775440237927336
"106","19722.json",13,"leah_williamson",0.25523055629284,0.0297834876905813
"107","19722.json",14,"lisa_evans",0.482820180291271,0.0463773532876141
"108","19723.json",1,"megan_finnigan",0.775274154711517,0.0747349001413697
"109","19723.json",2,"angharad_james",0.97335646635399,0.141788932166928
"110","19723.json",3,"danielle_turner",0.914361372207292,0.0763480950724586
"111","19723.json",4,"dominique_bruinenberg",0.86125554336333,0.0842487449152628
"112","19723.json",5,"gabrielle_george",1,0.0929907863399568
"113","19723.json",6,"kirstie_levell",0.338245574030141,0.0358950645692541
"114","19723.json",7,"georgia_brougham",0.863277649979696,0.109947329071406
"115","19723.json",8,"claudia_walker",0.53726711875875,0.0644830581535393
"116","19723.json",9,"inessa_kaagman",0.534482116781462,0.0631146344696725
"117","19723.json",10,"chloe_kelly",0.440531769715095,0.0686458563788534
"118","19723.json",11,"faye_bryson",0.495909080575634,0.0716162536730756
"119","19723.json",12,"abbey_leigh_stringer",0.112033034449911,0.0507988339942043
"120","19723.json",13,"chantelle_boye_hlorkah",0.260937655799645,0.0332738053275705
"121","19723.json",14,"hannah_cain",0.0449934683604699,0.0321137057264475
"122","19724.json",1,"julia_simic",0.811739481560134,0.0886484100408269
"123","19724.json",2,"brianna_visalli",0.775076268366179,0.0787481771358145
"124","19724.json",3,"ria_percival",0.64071605481015,0.113504971531119
"125","19724.json",4,"claire_lauren_rafferty",0.652406469785341,0.116360243501786
"126","19724.json",5,"gilly_louise_scarlett_flaherty",0.51237451695415,0.0722464680729333
"127","19724.json",6,"rebecca_leigh_spencer",0.444113101828342,0.0512698823260233
"128","19724.json",7,"jane_ross",0.673838538610892,0.104504170785619
"129","19724.json",8,"leanne_kiernan",0.289023462838662,0.0683794508907731
"130","19724.json",9,"erin_simon",0.681154059635093,0.111963481577016
"131","19724.json",10,"kate_longhurst",1,0.124191560341889
